02849	02849	shm sc spl
shm sc spl	02849	shm sc spl
02850	02850	sc shm spl
sc shm spl	02850	sc shm spl
07109	07109	hyb qln spl
hyb qln spl	07109	hyb qln spl
07110	07110	qln hyb exp
qln hyb	07110	qln hyb exp
07207	07207	bza sc spl
bza sc spl	07207	bza sc spl
07407	07407	tpty adb spl
tpty adb spl	07407	tpty adb spl
07408	07408	tpty ak spl
tpty ak spl	07408	tpty ak spl
07427	07427	sc cct  spl
sc cct  spl	07427	sc cct  spl
07507	07507	ak qln spl
ak qln spl	07507	ak qln spl
07509	07509	adb qln spl
adb qln spl	07509	adb qln spl
07613	07613	nzb qln spl
nzb qln spl	07613	nzb qln spl
07614	07614	nizamabad exp
nizamabad	07614	nizamabad exp
08500	08500	sc vskp spl
sc vskp spl	08500	sc vskp spl
08501	08501	vskp sc spl
vskp sc spl	08501	vskp sc spl
11019	11019	konark express
konark	11019	konark express
11020	11020	konark express
konark	11020	konark express
11303	11303	hyb kop express
hyb kop	11303	hyb kop express
11304	11304	kop hyb express
kop hyb	11304	kop hyb express
12025	12025	shatabdi exp
shatabdi	12025	shatabdi exp
12026	12026	pune shatabdi
pune shatabdi	12026	pune shatabdi
12193	12193	ypr jbp exp
ypr jbp	12193	ypr jbp exp
12194	12194	jbp ypr sup exp
jbp ypr sup	12194	jbp ypr sup exp
12213	12213	duronto express
duronto	12213	duronto express
12214	12214	ypr duronto exp
ypr duronto	12214	ypr duronto exp
12219	12219	sc duronto exp
sc duronto	12219	sc duronto exp
12220	12220	duronto ac exp
duronto ac	12220	duronto ac exp
12251	12251	wainganga exp
wainganga	12251	wainganga exp
12252	12252	wainganga exp
wainganga	12252	wainganga exp
12285	12285	nzm duronto ex
nzm duronto	12285	nzm duronto ex
12286	12286	nzm sc duronto
nzm sc duronto	12286	nzm sc duronto
12437	12437	rajdhani exp
rajdhani	12437	rajdhani exp
12438	12438	nzm sc rjdhni
nzm sc rjdhni	12438	nzm sc rjdhni
12513	12513	sc ghy exp
sc ghy	12513	sc ghy exp
12514	12514	ghy sc express
ghy sc	12514	ghy sc express
12589	12589	gkp sc express
gkp sc	12589	gkp sc express
12590	12590	gorakhpur exp
gorakhpur	12590	gorakhpur exp
12591	12591	gkp ypr express
gkp ypr	12591	gkp ypr express
12592	12592	gorakhpur exp
gorakhpur	12592	gorakhpur exp
12603	12603	hyderabad exp
